"geoid","name","crime_other","crime_personal","crime_property","density","median_income","unemployed","education"
"060371044041","Block Group 1, Census Tract 1044.04, Los Angeles County, California",1,56,44,925,11852,0.07378129117259552042,0.23519736842105263158
"060371044042","Block Group 2, Census Tract 1044.04, Los Angeles County, California",4,54,55,1866,11109,0.11997073884418434528,0.11227154046997389034
"060371045001","Block Group 1, Census Tract 1045, Los Angeles County, California",1,9,7,725,12259,0.03632887189292543021,0.30505050505050505051
"060371045002","Block Group 2, Census Tract 1045, Los Angeles County, California",9,40,75,2345,12832,0.09190751445086705202,0.18910505836575875486
"060371046101","Block Group 1, Census Tract 1046.10, Los Angeles County, California",7,30,27,2357,9873,0.08569704284852142426,0.14150197628458498024
"060371046102","Block Group 2, Census Tract 1046.10, Los Angeles County, California",1,23,23,1197,13588,0.06366630076838638858,0.17296511627906976744
"060371046201","Block Group 1, Census Tract 1046.20, Los Angeles County, California",15,24,,1084,11005,0.0987654320987654321,0.13957307060755336617
"060371046202","Block Group 2, Census Tract 1046.20, Los Angeles County, California",3,32,55,2318,14445,0.09116972477064220183,0.1304670126019273536
"060371047011","Block Group 1, Census Tract 1047.01, Los Angeles County, California",5,21,34,1281,11119,0.10247747747747747748,0.25072886297376093294
"060371047012","Block Group 2, Census Tract 1047.01, Los Angeles County, California",7,45,36,1854,6166,0.1784080512351326624,0.06967213114754098361
"060371047013","Block Group 3, Census Tract 1047.01, Los Angeles County, California",2,21,15,973,9486,0.01825842696629213483,0.25379609544468546638
"060371047031","Block Group 1, Census Tract 1047.03, Los Angeles County, California",2,19,41,1138,10528,0.11421319796954314721,0.306640625
"060371047032","Block Group 2, Census Tract 1047.03, Los Angeles County, California",7,28,,962,14037,0.08184143222506393862,0.29950900163666121113
"060371047041","Block Group 1, Census Tract 1047.04, Los Angeles County, California",11,52,59,4095,17081,0.13791934937309386649,0.39130434782608695652
"060371048101","Block Group 1, Census Tract 1048.10, Los Angeles County, California",7,45,38,1531,11748,0.07547169811320754717,0.22978723404255319149
"060371048102","Block Group 2, Census Tract 1048.10, Los Angeles County, California",3,32,43,1200,10305,0.08802308802308802309,0.36470588235294117647
"060371048103","Block Group 3, Census Tract 1048.10, Los Angeles County, California",1,22,35,2519,14564,0.10896403650026838433,0.20821529745042492918
"060371048211","Block Group 1, Census Tract 1048.21, Los Angeles County, California",1,19,137,2481,12779,0.1527347781217750258,0.27388963660834454913
"060371048212","Block Group 2, Census Tract 1048.21, Los Angeles County, California",36,44,,939,11322,0.09142053445850914205,0.2650334075723830735
"060371048221","Block Group 1, Census Tract 1048.22, Los Angeles County, California",2,40,53,2031,11671,0.19572261827608554763,0.23468507333908541846
"060371060101","Block Group 1, Census Tract 1060.10, Los Angeles County, California",6,53,71,2636,30809,0.03432494279176201373,0.66949152542372881356
"060371060201","Block Group 1, Census Tract 1060.20, Los Angeles County, California",15,34,,3012,23250,0.07267709291628334867,0.43535188216039279869
